Date,Open,High,Low,Close,Adj Close,Volume
7/16/2019,64.099998,64.339996,63.650002,63.82,61.777512,2097600
7/17/2019,63.759998,63.77,63.259998,63.330002,61.303192,1833800
7/18/2019,63.169998,63.290001,62.77,63.130001,61.109592,1874000
7/19/2019,63.25,63.669998,63.189999,63.650002,61.612953,2346500
7/22/2019,63.68,63.950001,63.630001,63.900002,61.85495,1343400
7/23/2019,64.309998,64.330002,63.759998,63.790001,61.74847,1911200
7/24/2019,63.43,63.810001,63.16,63.169998,61.148308,1824200
7/25/2019,63.650002,63.66,62.82,62.869999,60.857914,1995900
7/26/2019,63.380001,63.380001,62.950001,63.02,61.003113,2242100
7/29/2019,63.889999,63.889999,63.32,63.459999,61.429031,2139100
7/30/2019,63.580002,63.810001,63.23,63.799999,61.758148,2549800
7/31/2019,63.259998,63.59,62.439999,62.889999,60.877274,2970400
8/1/2019,59.560001,60,58.709999,58.779999,56.898808,6372800
8/2/2019,58.779999,58.91,58.02,58.41,56.540649,4766400
8/5/2019,57.580002,57.709999,56.860001,57.07,55.243534,4738100
8/6/2019,57.279999,57.439999,56.689999,57.299999,55.466175,5442500
8/7/2019,56.799999,57.279999,56.52,57.07,55.243534,4529800
8/8/2019,57.43,58.049999,57.119999,58.02,56.163132,3171900
8/9/2019,57.419998,57.720001,57.130001,57.299999,55.466175,3782200
8/12/2019,57.490002,57.639999,57.25,57.32,55.485535,1827400
8/13/2019,57.009998,58.139999,56.889999,57.700001,55.853374,2823700
8/14/2019,56.439999,56.639999,56.09,56.380001,54.575619,3670200
8/15/2019,54.990002,55.310001,54.779999,55.09,54.231075,3445900
8/16/2019,55.209999,55.66,54.98,55.560001,54.693748,2703800
8/19/2019,56.279999,56.41,55.990002,56.060001,55.185951,2628000
8/20/2019,55.599998,55.880001,55.299999,55.66,54.792187,2987100
8/21/2019,56.450001,56.450001,56.049999,56.240002,55.363144,1822200
8/22/2019,56.259998,56.310001,55.709999,55.889999,55.0186,2652000
8/23/2019,55.68,56.23,54.98,55.130001,54.270451,3428800
8/26/2019,55.869999,55.869999,55.16,55.310001,54.447647,2240400
8/27/2019,55.630001,55.740002,54.84,54.950001,54.093258,2298100
8/28/2019,55.34,55.880001,55.150002,55.68,54.811874,2706100
8/29/2019,56.060001,56.169998,55.700001,55.700001,54.831566,1962300
8/30/2019,55.759998,55.84,55.25,55.599998,54.73312,2284100
9/3/2019,54.709999,55.290001,54.560001,55.27,54.408268,3874100
9/4/2019,55.759998,56.029999,55.73,55.889999,55.0186,1913100
9/5/2019,56.209999,56.380001,55.73,55.740002,54.870941,3218900
9/6/2019,55.549999,55.66,55.310001,55.599998,54.73312,4065900
9/9/2019,56.029999,56.310001,55.93,56.259998,55.382832,2522400
9/10/2019,57.07,57.57,56.689999,56.810001,55.924259,3057600
9/11/2019,56.98,57.259998,56.43,56.5,55.619091,2638400
9/12/2019,56.18,56.689999,55.939999,56.549999,55.668308,2539900
9/13/2019,57.099998,57.25,56.709999,56.869999,55.983322,2742600
9/16/2019,58.630001,58.68,57.790001,57.990002,57.085861,5876300
9/17/2019,58.619999,58.630001,57.439999,58.09,57.184299,4372300
9/18/2019,58.040001,58.48,57.959999,58.220001,57.312275,2163400
9/19/2019,58.810001,58.880001,58.299999,58.310001,57.400871,2317100
9/20/2019,58.57,58.759998,58.32,58.48,57.568218,2698800
9/23/2019,58.400002,58.709999,58.360001,58.5,57.587906,2159300
9/24/2019,58.209999,58.209999,57.68,57.889999,56.987419,3129900
9/25/2019,57.68,57.950001,57.57,57.830002,56.928356,1951300
9/26/2019,58.439999,58.650002,58.25,58.549999,57.637127,2640600
9/27/2019,58.77,59.32,58.669998,59.110001,58.188396,3081700
9/30/2019,58.549999,59,58.549999,58.849998,57.932449,2814000
10/1/2019,58.669998,58.82,58.279999,58.389999,57.479622,3173500
10/2/2019,57.099998,57.209999,56.48,56.610001,55.727375,3659000
10/3/2019,56.43,56.990002,56.130001,56.990002,56.101452,2290200
10/4/2019,57,57.349998,56.869999,57.299999,56.406616,1790100
10/7/2019,57.48,57.77,57.16,57.18,56.28849,1984800
10/8/2019,57.049999,57.110001,56.43,56.439999,55.560024,3122300
10/9/2019,56.880001,56.93,56.48,56.549999,55.668308,2009300
10/10/2019,57.049999,57.34,56.939999,57.259998,56.367241,2286500
10/11/2019,57.799999,58.209999,57.77,57.849998,56.94804,2365500
10/14/2019,57.549999,57.959999,57.470001,57.82,56.91851,1519800
10/15/2019,57.630001,57.950001,57.470001,57.540001,56.642876,2399900
10/16/2019,57.630001,57.880001,57.389999,57.389999,56.495213,2214500
10/17/2019,58.189999,58.330002,57.91,58.16,57.253208,2543200
10/18/2019,58,58.119999,57.619999,57.720001,56.820068,2998300
10/21/2019,57.900002,58.360001,57.900002,58.279999,57.371338,1663600
10/22/2019,58.57,59.34,58.5,58.939999,58.021046,3305000
10/23/2019,59.049999,59.610001,58.990002,59.610001,58.680603,2220100
10/24/2019,60.02,60.040001,59.330002,59.57,58.641224,1869700
10/25/2019,59.27,59.790001,59.25,59.73,58.798729,1119400
10/28/2019,60.09,60.200001,59.82,59.919998,58.985767,2154200
10/29/2019,59.5,60.16,59.41,59.93,58.995613,2471500
10/30/2019,59.950001,60.060001,59.540001,60.049999,59.113739,2822500
10/31/2019,58.290001,58.470001,57.66,57.970001,57.066174,6078200
11/1/2019,58.220001,58.830002,58.189999,58.639999,57.725723,3750000
11/4/2019,59.669998,59.889999,59.43,59.439999,58.513252,3277100
11/5/2019,60.150002,60.16,59.740002,60.16,59.222027,3043500
11/6/2019,60.290001,60.509998,59.75,59.869999,58.936546,2170100
11/7/2019,60.240002,60.419998,59.950001,60.369999,59.428749,2370200
11/8/2019,60.130001,60.299999,59.93,60.25,59.310623,3064800
11/11/2019,59.779999,60.330002,59.720001,60.18,59.241714,1804600
11/12/2019,60.25,60.419998,59.889999,59.889999,58.956234,2294400
11/13/2019,59.84,60.380001,59.82,60.290001,59.349998,2423300
11/14/2019,59.490002,59.650002,58.98,59.130001,59.130001,2030000
11/15/2019,59.299999,59.720001,59.240002,59.57,59.57,1907000
